category,Name,Website,Phone,Address,Description
Shelters,Deborahs Place,https://www.deborahsplace.org,(312) 944-8810,"1532 N Sedgwick St, Chicago, IL 60610",Woman & child shelter - Temp Housing
Shelters,CornerStone Community Out Reach,https://www.ccolife.org/our-programs,(773) 271-8163,"4628 N Clifton Ave, Chicago, IL 60640,Woman & child shelter - Temp Housing
Shelters,Franciscan Outreach Association ,https://www.franoutreach.org,(773) 278-6724,"1645 W Le Moyne St, Chicago, IL 60622",Woman & child shelter - Temp Housing
Shelters,Interfaith House ,https://www.interfaithhouse.org,(773) 533-6013,"3456 W Franklin Blvd, Chicago, IL 60624",Woman & child shelter - Temp Housing
Shelters,Joshua House,https://www.breakthroughministries.com,(773) 722-0179,,Woman shelter only
Shelters,A Safe Haven,https://www.asafehaven.org,(773) 435-8300,"2750 W Roosevelt Rd, Chicago, IL 60608",Woman & child shelter - Temp Housing
Shelters,Primo Center For Women And Children,https://www.primocenter.org,(773) 722-0544,"4241 W Washington Blvd, Chicago, IL 60624",Woman & child shelter - Temp Housing
Shelters,La Posada Family Shelter - Casa Central ,https://www.casacentral.org,(773) 782-8820,"3209 W Evergreen Ave, Chicago, IL 60651",Woman & child shelter
Shelters,Jireh House,https://www.corinthianfellowship.org,(773) 498-4964,"3122 W 59th St #2, Chicago, IL 60629",men daytime location for single men to receive case management
Shelters,Franciscan Outreach Association,https://www.franoutreach.org,(773) 278-6724,"1645 W Le Moyne St, Chicago, IL 60622",Mens Shelter
Shelters,The Night Ministry,https://www.thenightministry.org,(773) 784-9000,"4711 N Ravenswood Ave, Chicago, IL 60640",Mens Shelter
Shelters,Northside Housing and Supportive Services,https://www.lakeviewshelter.org,(773) 327-1389,"835 W Addison St, Chicago, IL 60613",Mens Shelter
Shelters,San Jose Obrero Mission Shelter,https://www.sjom.org,(312) 243-4347,"1856 S Loomis St, Chicago, IL 60608",Mens Shelter
Shelters,Pacific Mission Garden,https://www.pgm.org,(312) 492-9410,"1458 S Canal St Chicago, IL 60607",Mens Shelter
Shelters,Night Ministry Open Door Shelter,https://www.thenightministry.org,(773) 506-4100,"1110 N Noble St Chicago, IL 60642",Youth Housing
Shelters,Mercy Home for Boys & Girls,https://www.mercyhome.org,(312) 738-7560,"1140 W Jackson Blvd Chicago, IL 60607",Youth Housing
Shelters,Heartland Alliance,https://www.heartlandalliance.org,(773) 433-1200,"4822 N Broadway Chicago, IL 60640",Youth Housing
Shelters,La Casa Norte,https://www.lacasanorte.org,(773) 276-4900,"3507 W North Ave Chicago, IL 60647",Young Men Shelter
